SkeletonNumber,BrainMoleNumber,ShardSoulNumber,BODnumber,NightBroneNumber,ArcaneArcherNumber,RogueNumber,GoblinNumber,CthuluNumber,FrostGuardianNumber,DemonNumber,FlameWizardNumber,CacodaemonNumber,FireKnightNumber,GhoulNumber,IceVikingNumber,CrystalMaulerNumber,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,level 1
0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,
,,,,,,,,,,,,,,,,,
0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,level 2
0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,10,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,level 3
0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,
0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,level 4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,level 5
0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
